timestamp,completed,e2e_pipeline_ms,stage1_ms,stage2_ms,stage3_ms,stage4_ms
1775318877.8306417,True,3636.183,0.0,379.885,3256.288,0.001
1775318877.830784,True,3636.046,0.0,365.916,3270.121,0.001
1775318877.830926,True,3635.91,0.0,351.41,3284.489,0.001
1775318877.8310678,True,3635.804,0.0,336.458,3299.332,0.001
1775318877.8313074,True,3636.308,0.0,322.618,3313.683,0.001
1775318877.8350692,True,3640.023,0.0,666.492,2973.524,0.001
1775318877.835256,True,3639.786,0.0,652.251,2987.527,0.001
1775318877.8354363,True,3639.452,0.0,636.647,3002.796,0.001
1775318877.8355937,True,3639.214,0.0,622.28,3016.925,0.001
1775318877.8357365,True,3639.005,0.0,607.715,3031.284,0.001
1775318877.8358736,True,3638.865,0.0,594.013,3044.845,0.001
1775318877.8360054,True,3638.733,0.0,580.75,3057.975,0.001
1775318877.8361328,True,3638.659,0.0,566.544,3072.105,0.001
1775318877.8362658,True,3638.479,0.0,549.79,3088.681,0.001
1775318877.836409,True,3638.269,0.0,535.41,3102.852,0.001
1775318877.8366024,True,3638.09,0.0,521.469,3116.614,0.001
1775318877.8367562,True,3637.904,0.0,508.327,3129.57,0.001
1775318877.836888,True,3637.694,0.0,493.285,3144.4,0.001
1775318881.4792962,True,3648.805,0.0,50.314,3598.476,0.001
1775318881.4797957,True,3649.411,0.0,64.14,3585.263,0.001
1775318881.4803855,True,3649.762,0.0,77.639,3572.115,0.001
1775318881.4850147,True,3650.527,0.0,88.154,3562.362,0.001
1775318881.4854927,True,3651.03,0.0,115.794,3535.228,0.001
1775318881.4856634,True,3650.862,0.0,101.974,3548.88,0.001
1775318881.4864483,True,3650.847,0.0,157.504,3493.336,0.001
1775318881.4866343,True,3650.686,0.0,143.965,3506.712,0.001
1775318881.486812,True,3650.521,0.0,129.77,3520.739,0.001
1775318881.4877527,True,3651.831,0.0,239.938,3411.886,0.001
1775318881.4879274,True,3651.666,0.0,227.012,3424.647,0.001
1775318881.4881003,True,3651.514,0.0,212.78,3438.724,0.001
1775318881.4882636,True,3651.35,0.0,198.399,3452.944,0.001
1775318881.4884527,True,3651.178,0.0,185.398,3465.772,0.001
1775318881.4886482,True,3651.01,0.0,170.959,3480.044,0.001
1775318881.490228,True,3619.583,0.0,220.379,3399.19,0.001
1775318881.4911397,True,3621.356,0.0,260.133,3361.215,0.001
1775318881.491308,True,3621.235,0.0,246.065,3375.161,0.001
1775318881.4915025,True,3621.79,0.0,233.561,3388.221,0.001
1775318881.4923842,True,3622.134,0.0,331.884,3290.243,0.001
1775318881.4925754,True,3621.993,0.0,319.093,3302.892,0.001
1775318881.4927695,True,3621.84,0.0,305.488,3316.344,0.001
1775318881.4929175,True,3621.694,0.0,290.302,3331.386,0.001
1775318881.493054,True,3621.532,0.0,275.187,3346.338,0.001
1775318881.4943843,True,3622.316,0.0,345.349,3276.96,0.001
1775318881.4962866,True,3624.473,0.0,358.843,3265.619,0.001
1775318881.4967537,True,3624.525,0.0,372.777,3251.738,0.001
1775318881.4972894,True,3623.765,0.0,546.33,3077.428,0.001
1775318881.4974627,True,3623.618,0.0,531.406,3092.204,0.001
1775318881.4976382,True,3623.463,0.0,517.037,3106.414,0.001
1775318881.4985979,True,3624.169,0.0,590.551,3033.611,0.001
1775318881.4988072,True,3624.053,0.0,575.841,3048.205,0.001
1775318881.4989834,True,3623.923,0.0,561.208,3062.707,0.001
1775318881.5011299,True,3627.151,0.0,605.544,3021.597,0.001
1775318881.501539,True,3627.539,0.0,620.037,3007.493,0.001
1775318881.5020416,True,3627.947,0.0,649.567,2978.373,0.001
1775318881.5022035,True,3627.774,0.0,634.789,2992.978,0.001
1775318881.5028949,True,3628.62,0.0,690.1,2938.513,0.001
1775318881.5030649,True,3628.445,0.0,676.051,2952.386,0.001
1775318881.503218,True,3628.132,0.0,662.483,2965.642,0.001
1775318881.50416,True,3631.255,0.0,430.663,3200.585,0.001
1775318881.5043323,True,3631.112,0.0,417.287,3213.819,0.001
1775318881.5044932,True,3631.002,0.0,402.537,3228.454,0.001
1775318881.5047233,True,3631.017,0.0,388.072,3242.936,0.001
1775318881.5049047,True,3628.792,0.0,704.28,2924.505,0.001
1775318881.5062225,True,3632.555,0.0,502.867,3129.68,0.001
1775318881.5064,True,3632.358,0.0,488.37,3143.979,0.001
1775318881.5065894,True,3632.158,0.0,473.836,3158.313,0.001
1775318881.506752,True,3631.881,0.0,459.337,3172.537,0.001
1775318881.5068994,True,3631.605,0.0,444.945,3186.652,0.001
1775318885.1450121,True,3655.052,0.0,80.475,3574.568,0.0
1775318885.1453142,True,3654.905,0.0,65.397,3589.5,0.001
1775318885.1455762,True,3654.56,0.0,51.249,3603.299,0.001
1775318885.147255,True,3647.677,0.0,111.405,3536.264,0.001
1775318885.1475177,True,3647.566,0.0,97.544,3550.014,0.001
1775318885.147861,True,3647.435,0.0,84.083,3563.342,0.001
1775318885.1489122,True,3642.179,0.0,190.432,3451.74,0.001
1775318885.1490757,True,3642.072,0.0,176.48,3465.585,0.0
1775318885.1492226,True,3641.996,0.0,162.22,3479.767,0.0
1775318885.1493618,True,3648.033,0.0,154.75,3493.274,0.001
1775318885.1495225,True,3647.911,0.0,139.701,3508.203,0.001
1775318885.1496623,True,3647.777,0.0,125.333,3522.437,0.001
1775318885.1510472,True,3644.384,0.0,217.454,3426.923,0.001
1775318885.151205,True,3644.163,0.0,203.348,3440.808,0.001
1775318885.1536067,True,3646.98,0.0,231.309,3415.664,0.001
1775318885.1542325,True,3647.24,0.0,245.792,3401.439,0.001
1775318885.1549993,True,3622.595,0.001,264.006,3358.575,0.001
1775318885.1552405,True,3647.736,0.0,274.833,3372.896,0.001
1775318885.1555638,True,3647.522,0.0,260.22,3387.294,0.001
1775318885.1569939,True,3623.246,0.0,352.99,3270.247,0.001
1775318885.1571615,True,3623.093,0.0,338.115,3284.968,0.001
1775318885.1573157,True,3622.936,0.0,323.334,3299.595,0.001
1775318885.1574695,True,3622.794,0.0,308.66,3314.127,0.001
1775318885.15761,True,3622.669,0.0,294.128,3328.533,0.001
1775318885.1577458,True,3622.554,0.0,278.353,3344.193,0.001
1775318885.1612558,True,3627.403,0.0,367.812,3259.58,0.002
1775318885.161707,True,3627.674,0.0,381.681,3245.984,0.001
1775318885.1622865,True,3625.599,0.0,648.669,2976.922,0.001
1775318885.1624894,True,3625.406,0.0,634.601,2990.799,0.001
1775318885.16267,True,3625.215,0.0,619.526,3005.681,0.001
1775318885.1655242,True,3628.515,0.0,662.374,2966.133,0.001
1775318885.1659575,True,3629.078,0.0,690.214,2938.857,0.001
1775318885.1661358,True,3628.862,0.0,676.108,2952.746,0.001
1775318885.1668382,True,3632.755,0.0,410.221,3222.528,0.001
1775318885.1670487,True,3632.582,0.0,396.084,3236.491,0.001
1775318885.1672297,True,3629.26,0.0,705.005,2924.248,0.001
1775318885.1682231,True,3632.253,0.0,492.04,3140.206,0.001
1775318885.1684115,True,3632.091,0.0,478.79,3153.295,0.001
1775318885.1686,True,3631.975,0.0,465.83,3166.138,0.001
1775318885.1687784,True,3632.777,0.0,452.69,3180.08,0.001
1775318885.168962,True,3633.024,0.0,439.703,3193.313,0.001
1775318885.1691456,True,3632.88,0.0,424.607,3208.264,0.001
1775318885.170868,True,3633.423,0.0,604.429,3028.987,0.001
1775318885.171069,True,3633.299,0.0,589.735,3043.556,0.001
1775318885.1712315,True,3633.232,0.0,575.077,3058.147,0.001
1775318885.1713889,True,3633.052,0.0,560.983,3072.062,0.001
1775318885.1715539,True,3632.864,0.0,547.701,3085.156,0.001
1775318885.1717124,True,3632.713,0.0,533.379,3099.326,0.001
1775318885.171887,True,3632.563,0.0,519.784,3112.773,0.001
1775318885.172044,True,3632.411,0.0,506.202,3126.202,0.001
1775318888.8376968,True,3677.335,0.0,51.095,3626.225,0.002
1775318888.8387713,True,3678.438,0.0,64.316,3614.113,0.001
1775318888.8393586,True,3679.097,0.0,77.343,3601.747,0.001
1775318888.83981,True,3679.333,0.0,90.798,3588.529,0.001
1775318888.8407137,True,3679.712,0.0,118.279,3561.425,0.001
1775318888.8409042,True,3679.502,0.0,104.596,3574.899,0.001
1775318888.8467226,True,3682.8,0.0,129.301,3553.49,0.001
1775318888.847133,True,3682.985,0.0,143.77,3539.205,0.001
1775318888.8476386,True,3683.323,0.0,171.529,3511.787,0.001
1775318888.8478148,True,3683.157,0.0,157.623,3525.526,0.001
1775318888.848519,True,3684.036,0.0,227.362,3456.666,0.001
1775318888.8487413,True,3683.825,0.0,213.339,3470.479,0.001
1775318888.8489077,True,3683.654,0.0,199.668,3483.976,0.001
1775318888.849076,True,3683.489,0.0,186.373,3497.107,0.001
1775318888.8502157,True,3649.432,0.0,715.049,2934.376,0.001
1775318888.8504028,True,3649.086,0.0,700.126,2948.952,0.001
1775318888.8505654,True,3648.909,0.0,686.043,2962.856,0.001
1775318888.8507175,True,3648.725,0.0,670.302,2978.416,0.001
1775318888.8508682,True,3678.694,0.0,250.625,3428.063,0.001
1775318888.851017,True,3678.579,0.0,236.238,3442.333,0.001
1775318888.852645,True,3680.073,0.0,264.167,3415.899,0.001
1775318888.8545206,True,3684.019,0.0,277.971,3406.041,0.001
1775318888.8549218,True,3684.271,0.0,292.138,3392.126,0.001
1775318888.8554296,True,3684.643,0.0,321.43,3363.204,0.001
1775318888.8556209,True,3684.459,0.0,306.478,3377.973,0.001
1775318888.8562899,True,3659.226,0.0,352.913,3306.302,0.001
1775318888.8564517,True,3659.312,0.001,339.48,3319.816,0.001
1775318888.8566613,True,3685.01,0.0,351.49,3333.513,0.001
1775318888.8568358,True,3684.839,0.0,336.358,3348.473,0.001
1775318888.8579156,True,3658.593,0.0,453.631,3204.952,0.001
1775318888.858115,True,3658.465,0.0,438.003,3220.454,0.001
1775318888.858284,True,3659.394,0.0,424.166,3235.219,0.001
1775318888.8584385,True,3659.233,0.0,409.084,3250.137,0.001
1775318888.8585875,True,3659.078,0.0,393.843,3265.227,0.001
1775318888.858742,True,3658.919,0.0,380.354,3278.557,0.001
1775318888.8589015,True,3658.813,0.0,366.733,3292.071,0.001
1775318888.8605723,True,3660.831,0.0,497.666,3163.158,0.001
1775318888.8607614,True,3660.624,0.0,482.935,3177.681,0.001
1775318888.8609211,True,3658.738,0.0,468.412,3190.318,0.001
1775318888.8623395,True,3662.127,0.0,611.463,3050.658,0.001
1775318888.8625157,True,3661.969,0.0,597.628,3064.334,0.001
1775318888.8626778,True,3661.795,0.0,583.952,3077.836,0.001
1775318888.8628287,True,3661.595,0.0,570.427,3091.161,0.001
1775318888.862975,True,3661.437,0.0,557.216,3104.214,0.001
1775318888.863116,True,3661.27,0.0,541.956,3119.305,0.001
1775318888.8632536,True,3661.071,0.0,526.881,3134.184,0.001
1775318888.8634071,True,3660.909,0.0,512.258,3148.644,0.001
1775318888.8655741,True,3662.522,0.0,655.487,3007.029,0.001
1775318888.8658323,True,3662.387,0.0,640.566,3021.815,0.001
1775318888.866017,True,3662.287,0.0,626.004,3036.276,0.001
1775318892.5167196,True,3652.121,0.0,233.7,3418.415,0.001
1775318892.5170593,True,3651.978,0.0,219.748,3432.223,0.0
1775318892.51738,True,3651.841,0.0,205.075,3446.758,0.001
1775318892.5177965,True,3651.712,0.0,191.437,3460.267,0.001
1775318892.5180411,True,3651.632,0.0,178.517,3473.107,0.001
1775318892.5182014,True,3651.49,0.0,163.61,3487.871,0.001
1775318892.5183482,True,3651.339,0.0,148.958,3502.372,0.001
1775318892.518489,True,3651.199,0.0,135.64,3515.548,0.001
1775318892.518636,True,3651.107,0.0,120.978,3530.117,0.001
1775318892.5187805,True,3659.847,0.0,115.585,3544.255,0.001
1775318892.518916,True,3659.721,0.0,102.079,3557.635,0.001
1775318892.5190513,True,3659.596,0.0,89.244,3570.345,0.001
1775318892.5191898,True,3659.479,0.0,75.685,3583.786,0.001
1775318892.519365,True,3660.971,0.0,64.056,3596.903,0.001
1775318892.5195572,True,3668.591,0.0,55.475,3613.104,0.002
1775318892.5223575,True,3620.813,0.0,692.979,2927.827,0.001
1775318892.5225182,True,3620.635,0.0,678.496,2942.132,0.001
1775318892.5226614,True,3620.518,0.0,664.373,2956.138,0.001
1775318892.5228024,True,3624.882,0.0,232.999,3391.873,0.001
1775318892.5229342,True,3624.864,0.0,218.7,3406.148,0.001
1775318892.5269356,True,3626.643,0.0,708.295,2918.332,0.002
