timestamp,ttft_ms,tpot_ms,total_time_ms,token_count,success
1775308031.5154848,636.731,203.695,2879.003,12,True
1775308032.3627474,514.801,211.25,2653.51,11,True
1775308032.5397754,533.393,198.561,2769.744,12,True
1775308032.7450104,412.39,209.18,2872.594,12,True
1775308032.9515028,513.817,208.192,2665.834,11,True
1775308033.3936806,606.597,246.113,3902.328,13,True
1775308033.685635,783.297,213.593,3154.897,12,True
1775308033.869771,417.179,218.174,2555.722,10,True
1775308034.3830369,649.984,201.407,3068.053,13,True
1775308034.5889258,821.512,204.66,3073.287,12,True
1775308034.9935641,392.705,203.291,2630.646,12,True
1775308035.0955806,3509.238,174.328,5631.912,12,True
1775308035.19557,411.711,197.623,2655.646,12,True
1775308035.6044016,407.883,203.97,2652.702,12,True
1775308035.9105332,849.751,205.53,3165.323,12,True
1775308036.421051,514.754,212.273,2735.256,11,True
1775308036.4212003,435.413,211.582,2551.249,11,True
1775308036.8298364,1110.863,197.241,3436.004,12,True
1775308037.134321,425.062,205.678,2751.109,12,True
1775308037.7465096,459.739,208.914,2550.756,11,True
1775308037.7759156,406.444,229.137,3186.84,13,True
1775308037.853817,614.686,194.17,2758.085,12,True
1775308038.1763809,814.286,198.166,3182.666,12,True
1775308038.702503,558.97,200.67,2791.81,12,True
1775308038.7814937,1122.63,184.91,3176.944,12,True
1775308039.0712202,408.281,203.741,2649.468,12,True
1775308039.1670766,429.247,210.502,2745.796,12,True
1775308039.5778105,507.971,196.949,2747.769,12,True
1775308040.112332,728.543,202.05,2977.795,12,True
1775308040.3918626,502.791,203.498,2537.865,11,True
1775308040.8317378,652.692,199.74,3085.052,13,True
1775308040.8323536,884.534,193.995,3056.307,12,True
1775308040.8960967,432.154,203.068,2719.558,12,True
1775308041.4216075,391.31,200.62,2718.91,12,True
1775308041.6063962,490.594,206.801,2824.764,12,True
1775308041.9118164,421.94,197.376,2840.46,13,True
1775308042.6210465,610.844,197.467,3043.101,13,True
1775308042.8322098,1369.907,202.47,3664.983,12,True
1775308042.8328495,431.8,202.83,2720.395,12,True
1775308043.0284688,421.446,201.362,2636.464,12,True
1775308043.7429726,511.377,211.924,2846.708,12,True
1775308043.9870152,574.599,220.977,3154.547,12,True
1775308044.5509143,519.004,196.991,2944.344,13,True
1775308044.5515068,481.063,211.432,3719.655,12,True
1775308044.6677876,509.484,202.666,2755.798,12,True
1775308044.7520945,1131.482,190.69,3330.348,12,True
1775308045.3621097,424.802,205.955,2740.893,12,True
1775308045.515767,501.861,196.79,2683.413,12,True
1775308045.7655725,408.18,205.812,2736.968,12,True
1775308046.1709888,510.08,229.359,3337.833,12,True
1775308046.475318,401.49,203.268,2488.153,11,True
1775308047.1857023,537.221,203.473,2634.661,11,True
1775308047.1858258,606.753,202.533,2634.235,11,True
1775308047.314074,408.019,194.868,2561.755,12,True
1775308047.5957649,594.276,211.701,2927.829,12,True
1775308048.1277597,433.307,209.645,2765.498,12,True
1775308048.3321419,555.269,204.195,2816.233,12,True
1775308048.5044203,509.022,202.583,2738.732,12,True
1775308049.1467376,407.023,204.27,2671.26,12,True
1775308049.2310636,812.904,202.713,3059.93,12,True
1775308050.1257782,512.6,195.812,2939.817,13,True
1775308050.1284504,447.615,226.766,2942.059,12,True
1775308050.1316197,685.686,193.792,2817.417,12,True
1775308050.2274091,409.786,196.501,2631.485,12,True
1775308050.6674156,394.058,193.564,2539.484,12,True
1775308050.938928,408.683,218.681,2434.388,10,True
1775308050.9778025,394.331,221.165,2645.49,11,True
1775308051.8882709,440.427,200.99,2657.026,12,True
1775308052.0538332,590.779,203.985,2906.92,12,True
1775308053.0634956,626.702,196.132,2835.846,12,True
1775308053.4702835,1115.246,197.074,3344.362,12,True
1775308053.5901299,778.452,193.332,2922.566,12,True
1775308053.7745976,1655.512,180.596,3642.817,12,True
1775308053.8048162,665.069,194.026,2826.85,12,True
1775308053.976179,922.668,204.25,3037.114,11,True
1775308054.8747525,509.733,205.386,2820.709,12,True
1775308055.2720573,1076.946,192.789,3383.647,12,True
1775308055.879478,508.632,204.26,2815.842,12,True
1775308056.1027644,9574.278,213.893,12359.63,11,True
